title,imgUrl,price_amz,category_id_amz,amazon_category_name,brand,category_code,event_time,event_type,product_id,category_id_dec,price_dec,user_id,user_session,txt_dec_final,txt_amz_final,final_score,price_diff,optimization_score
"SINGER | HD6700 Electronic Heavy Duty Sewing Machine with 411 Stitch Applications - Sewing Made Easy, Large, Gray",https://m.media-amazon.com/images/I/61mpPMhxWpL._AC_UL320_.jpg,279.99,6,Sewing Products,singer,appliances.sewing_machine,2019-12-01 15:54:00 UTC,view,5000775,2232732102950912587,394.58,547046976,1c222e2d-804f-4d1b-b0c4-fdcbab5c75d7,singer appliances sewing_machine,"SINGER | HD6700 Electronic Heavy Duty Sewing Machine with 411 Stitch Applications - Sewing Made Easy, Large, Gray",0.8529366,114.58999999999997,0.17750833392854054
Lenovo Legion 5 Pro 16ACH6H 82JQ00F9US 16 Gaming Notebook - QHD - 2560 x 1600 - AMD Ryzen 7 5800H Octa-core [8 Core] 3.20 GHz - 16 GB Total RAM - 512 GB SSD - Storm Gray,https://m.media-amazon.com/images/I/71a6AjwZKlL._AC_UL320_.jpg,1342.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 11:48:36 UTC,view,1303193,2053013558920217191,1339.11,521409934,44d5ffe2-1e67-438d-b638-bf139c00837f,lenovo computers notebook,Lenovo Legion 5 Pro 16ACH6H 82JQ00F9US 16 Gaming Notebook - QHD - 2560 x 1600 - AMD Ryzen 7 5800H Octa-core [8 Core] 3.20 GHz - 16 GB Total RAM - 512 GB SSD - Storm Gray,0.60458,2.8900000000001,0.32657152699228265
"Lenovo ThinkPad T14 Gen 3 21AH00BNUS 14"" Notebook - 2.2K - Intel Core i7 12th Gen i7-1270P Dodeca-core (12 Core) - 16 GB Total RAM - 8 GB On-Board Memory - 512 GB SSD - Thunder Black",https://m.media-amazon.com/images/I/51d3fYcGe+L._AC_UL320_.jpg,1123.99,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 03:37:45 UTC,view,1306722,2053013558920217191,1132.56,513147826,551832bc-422a-454a-9884-0b7b3b74cb40,lenovo computers notebook,"Lenovo ThinkPad T14 Gen 3 21AH00BNUS 14"" Notebook - 2.2K - Intel Core i7 12th Gen i7-1270P Dodeca-core (12 Core) - 16 GB Total RAM - 8 GB On-Board Memory - 512 GB SSD - Thunder Black",0.6123292,8.569999999999936,0.20606040635318762
"Lenovo 2022 Ideapad 3i Touch-Screen Laptops for College Students & Business, 15.6 inch HD Computer, Intel Core i3-1115G4, 12GB RAM, 512GB SSD, HDMI, Webcam, Bluetooth, Windows 11, LIONEYE MP",https://m.media-amazon.com/images/I/71HSBtWksbL._AC_UL320_.jpg,499.99,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 01:29:58 UTC,view,1306021,2053013558920217191,504.26,579991394,1d74adee-49ac-4beb-8cc5-2c4b2fe744ea,lenovo computers notebook,"Lenovo 2022 Ideapad 3i Touch-Screen Laptops for College Students & Business, 15.6 inch HD Computer, Intel Core i3-1115G4, 12GB RAM, 512GB SSD, HDMI, Webcam, Bluetooth, Windows 11, LIONEYE MP",0.66646284,4.269999999999982,0.28509522454649006
"OEM Lenovo ThinkPad T15 Gen 2 15.6"" FHD IPS, Intel Quad Core i7-1165G7, 40GB RAM, 1TB NVMe, Fingerprint Reader, Backlit, WiFi 6, Bluetooth, W11P, Business Laptop",https://m.media-amazon.com/images/I/71nySW5bDsL._AC_UL320_.jpg,1099.95,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 11:48:24 UTC,view,1306562,2053013558920217191,1104.25,560317813,f455f0a3-f66f-4d60-82b0-fb9f2113ce1d,lenovo computers notebook,"OEM Lenovo ThinkPad T15 Gen 2 15.6"" FHD IPS, Intel Quad Core i7-1165G7, 40GB RAM, 1TB NVMe, Fingerprint Reader, Backlit, WiFi 6, Bluetooth, W11P, Business Laptop",0.61649287,4.2999999999999545,0.2742419702264164
"Lenovo ThinkPad T14 Laptop, 14.0"" FHD IPS Display, Ryzen 5 Pro 4650U up to 4.0GHz, AMD Radeon Graphics, 16GB RAM, 1TB PCIe SSD, Fingerprint, Win 10 Pro, Black, with MTC Mousepad",https://m.media-amazon.com/images/I/51Wc1Mxy-xL._AC_UL320_.jpg,1079.99,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 11:33:31 UTC,view,1306556,2053013558920217191,1080.85,551129725,60354a63-6e8e-4833-b87c-ded5c84ff1ab,lenovo computers notebook,"Lenovo ThinkPad T14 Laptop, 14.0"" FHD IPS Display, Ryzen 5 Pro 4650U up to 4.0GHz, AMD Radeon Graphics, 16GB RAM, 1TB PCIe SSD, Fingerprint, Win 10 Pro, Black, with MTC Mousepad",0.6091443,0.8599999999999,0.5519363868817436
"Lenovo ThinkPad X1 Yoga Gen 6 2-in-1 Laptop 14"" FHD+ IPS Touchscreen (400 nits) 11th Gen Intel Quad-Core i5-1135G7 (Beats i7-10510U) 8GB RAM 512GB SSD Fingerprint Pen Win10Pro + HDMI Cable",https://m.media-amazon.com/images/I/611RKIJV-NL._AC_UL320_.jpg,877.99,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 03:40:27 UTC,view,1306414,2053013558920217191,875.16,512459783,48118c92-fb47-4abd-bf64-2fa624afc932,lenovo computers notebook,"Lenovo ThinkPad X1 Yoga Gen 6 2-in-1 Laptop 14"" FHD+ IPS Touchscreen (400 nits) 11th Gen Intel Quad-Core i5-1135G7 (Beats i7-10510U) 8GB RAM 512GB SSD Fingerprint Pen Win10Pro + HDMI Cable",0.63820714,2.830000000000041,0.33651871259529803
"Lenovo 2023 ThinkPad E15 Gen 4 High Performance Business Laptop: AMD Ryzen 5 5625U Hex-Core, 16GB RAM, 2TB NVMe SSD, 15.6"" FHD 1920x1080 IPS Display, Win 10 Pro, Silver",https://m.media-amazon.com/images/I/71hwpV5oXsL._AC_UL320_.jpg,1299.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 03:40:33 UTC,view,100002074,2053013558920217191,1271.18,541716350,15b0c482-5dcc-482c-8835-06015368547f,lenovo computers notebook,"Lenovo 2023 ThinkPad E15 Gen 4 High Performance Business Laptop: AMD Ryzen 5 5625U Hex-Core, 16GB RAM, 2TB NVMe SSD, 15.6"" FHD 1920x1080 IPS Display, Win 10 Pro, Silver",0.66789156,27.819999999999936,0.16133681304094386
"Lenovo ThinkCentre M80s Gen 3 SFF Desktop Computer - 12th Gen Intel Core i5-12500 6-Core up to 4.60 GHz CPU, 16GB DDR5 RAM, 1TB NVMe SSD + 1TB HDD, Intel UHD Graphics 770, DVD-RW, Windows 11 Pro",https://m.media-amazon.com/images/I/61upzH+TgFL._AC_UL320_.jpg,1198.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 05:29:15 UTC,view,1307230,2053013553375346967,1196.92,579512066,4d49ffd1-8667-407e-a95a-ae50b3564ed1,lenovo computers notebook,"Lenovo ThinkCentre M80s Gen 3 SFF Desktop Computer - 12th Gen Intel Core i5-12500 6-Core up to 4.60 GHz CPU, 16GB DDR5 RAM, 1TB NVMe SSD + 1TB HDD, Intel UHD Graphics 770, DVD-RW, Windows 11 Pro",0.60663545,1.0799999999999272,0.5059424746153981
"Lenovo X1 Carbon 6th Generation Ultrabook: Core i7-8550U, 16GB RAM, 512GB SSD, 14Inch Full HD Display, Backlit Keyboard",https://m.media-amazon.com/images/I/41QuHR9G0hL._AC_UL320_.jpg,1149.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-15 17:54:59 UTC,view,1304608,2053013558920217191,1148.89,530298422,13a33e4c-374c-4ef9-a61d-83d7145f89b4,lenovo computers notebook,"Lenovo X1 Carbon 6th Generation Ultrabook: Core i7-8550U, 16GB RAM, 512GB SSD, 14Inch Full HD Display, Backlit Keyboard",0.62990165,0.10999999999989996,0.8467010507207857
"Lenovo Gaming Laptop IdeaPad 3 15.6"", 12th Intel Core i7-12700H 14 Cores, NVIDIA GeForce RTX 3050 Ti, 32GB RAM 1TB PCIe SSD, 120Hz IPS FHD, RJ-45, Thunderbolt 4, Backlit KB, Windows 11, w/Mousepad",https://m.media-amazon.com/images/I/71QHezPMwzL._AC_UL320_.jpg,1189.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 12:02:39 UTC,view,1306746,2053013558920217191,1181.39,580232205,7f05291c-4da4-4ea8-8cb5-00f278fa9ef1,lenovo computers notebook,"Lenovo Gaming Laptop IdeaPad 3 15.6"", 12th Intel Core i7-12700H 14 Cores, NVIDIA GeForce RTX 3050 Ti, 32GB RAM 1TB PCIe SSD, 120Hz IPS FHD, RJ-45, Thunderbolt 4, Backlit KB, Windows 11, w/Mousepad",0.612599,7.6099999999999,0.21543501486643546
"Lenovo V14 G2 ALC 82KC009VUS 14"" Notebook - HD - 1366 x 768 - AMD Ryzen 5 5500U Hexa-core (6 Core) 2.10 GHz - 8 GB RAM - 256 GB SSD - Black",https://m.media-amazon.com/images/I/51vcB3XrExL._AC_UL320_.jpg,619.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 10:43:15 UTC,view,1307103,2053013558920217191,620.09,580195087,fa83bd3e-8373-4308-940d-358395734bcb,lenovo computers notebook,"Lenovo V14 G2 ALC 82KC009VUS 14"" Notebook - HD - 1366 x 768 - AMD Ryzen 5 5500U Hexa-core (6 Core) 2.10 GHz - 8 GB RAM - 256 GB SSD - Black",0.69057226,1.0900000000000318,0.520889571617219
"Lenovo 2023 Newest IdeaPad 3i 14"" FHD Ultra-Light Laptop, 12th Gen Intel 10-Core i5-1235U(Beat i7-1165G7), 8GB RAM, 256GB SSD, Iris Xe Graphics, Fingerprint, Backlit Keyboard, Dolby Audio, Windows 11",https://m.media-amazon.com/images/I/61TuZI0FXmL._AC_UL320_.jpg,499.99,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 01:42:44 UTC,view,1306523,2053013558920217191,501.43,579996967,5d328d32-f7f7-4830-b626-2e871975d1c0,lenovo computers notebook,"Lenovo 2023 Newest IdeaPad 3i 14"" FHD Ultra-Light Laptop, 12th Gen Intel 10-Core i5-1235U(Beat i7-1165G7), 8GB RAM, 256GB SSD, Iris Xe Graphics, Fingerprint, Backlit Keyboard, Dolby Audio, Windows 11",0.6666542,1.4399999999999977,0.4611996924590167
"Lenovo IdeaPad Slim 7 14IAP7 14&quot; 2.8K Touchscreen Notebook Computer, Intel Core i7-1260P 2.1GHz, 16GB RAM, 1TB SSD, Windows 11 Home, Cloud Gray",https://m.media-amazon.com/images/I/6197gDn29WL._AC_UL320_.jpg,798.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-23 05:34:04 UTC,view,1306803,2053013558920217191,797.94,591112461,dea6c69c-fa02-4916-a2d7-0554b51919a4,lenovo computers notebook,"Lenovo IdeaPad Slim 7 14IAP7 14&quot; 2.8K Touchscreen Notebook Computer, Intel Core i7-1260P 2.1GHz, 16GB RAM, 1TB SSD, Windows 11 Home, Cloud Gray",0.6582137,0.05999999999994543,0.8863597211321144
"Lenovo Thinkpad E15 Business Laptop, 15.6"" FHD IPS Display, Intel Core i7-10510U, 32GB RAM Memory, 1TB PCIe NVMe SSD, Webcam, Zoom Meeting, Windows 10 Pro, Black",https://m.media-amazon.com/images/I/81Gs0cRhPeL._AC_UL320_.jpg,1145.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-04 08:57:03 UTC,view,1306473,2053013558920217191,1135.14,568781231,2308432a-a552-4fd7-857d-d60994c9e731,lenovo computers notebook,"Lenovo Thinkpad E15 Business Laptop, 15.6"" FHD IPS Display, Intel Core i7-10510U, 32GB RAM Memory, 1TB PCIe NVMe SSD, Webcam, Zoom Meeting, Windows 10 Pro, Black",0.6275596,9.8599999999999,0.19917674504604121
"LENOVO 2022 IdeaPad Flex 5 16"" 2-in-1 2.5K IPS Touchscreen Laptop, Intel Core i7-1255U, 16GB RAM, 1TB SSD, Backlit Keyboard, Fingerprint Reader, Win 11 Pro, Storm Grey, 32GB Snow Bell USB Card",https://m.media-amazon.com/images/I/81e-Uu6hq2L._AC_UL320_.jpg,879.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 04:25:44 UTC,view,1307457,2053013558920217191,874.18,513388270,38f41e42-a5b7-47d4-ade2-bb755fe0bacf,lenovo computers notebook,"LENOVO 2022 IdeaPad Flex 5 16"" 2-in-1 2.5K IPS Touchscreen Laptop, Intel Core i7-1255U, 16GB RAM, 1TB SSD, Backlit Keyboard, Fingerprint Reader, Win 11 Pro, Storm Grey, 32GB Snow Bell USB Card",0.6728591,4.82000000000005,0.2720288646735384
"Lenovo ThinkPad L15 Gen2 20X70076US 15.6"" Notebook - HD - 1366 x 768 - AMD Ryzen 5 PRO 5650U Hexa-core (6 Core) 2.30 GHz - 8 GB RAM - 256 GB SSD - Black",https://m.media-amazon.com/images/I/81YcwpTJMVL._AC_UL320_.jpg,679.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 04:10:48 UTC,view,1306608,2053013553375346967,669.23,549512069,5a7b9aae-371f-4430-9c62-2d2cc6622cd8,lenovo computers notebook,"Lenovo ThinkPad L15 Gen2 20X70076US 15.6"" Notebook - HD - 1366 x 768 - AMD Ryzen 5 PRO 5650U Hexa-core (6 Core) 2.30 GHz - 8 GB RAM - 256 GB SSD - Black",0.6614746,9.769999999999982,0.20657532854224714
"Lenovo ThinkPad T490s (20NX-001VUS) Intel i5-8265U, 8GB RAM, 256GB SSD, 14",https://m.media-amazon.com/images/I/618YLF2RUwL._AC_UL320_.jpg,860.95,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 04:19:43 UTC,view,1307556,2053013558920217191,862.06,538316690,f86e34be-22fd-45d6-8a68-bcfcaed03119,lenovo computers notebook,"Lenovo ThinkPad T490s (20NX-001VUS) Intel i5-8265U, 8GB RAM, 256GB SSD, 14",0.6343613,1.1099999999999,0.5060191794312976
"Lenovo IdeaPad 3 15ITL6 82H800KAUS 15.6"" Touchscreen Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1135G7 Quad-core (4 Core) 2.40 GHz - 12 GB RAM - 512 GB SSD - Arctic Gray",https://m.media-amazon.com/images/I/61SNUSowuqL._AC_UL320_.jpg,508.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 00:17:19 UTC,view,1306411,2053013558920217191,504.49,525870990,26dac239-ae54-429e-a7d4-4cfa05dc0283,lenovo computers notebook,"Lenovo IdeaPad 3 15ITL6 82H800KAUS 15.6"" Touchscreen Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1135G7 Quad-core (4 Core) 2.40 GHz - 12 GB RAM - 512 GB SSD - Arctic Gray",0.6374763,3.509999999999991,0.30487885201773873
"Lenovo ThinkPad E15 Gen 2 Home & Business Laptop (AMD Ryzen 5 4500U 6-Core, 16GB RAM, 512GB PCIe SSD, AMD Radeon, 15.6"" Full HD (1920x1080), WiFi, Bluetooth, Webcam, Win 10 Pro) with Hub",https://m.media-amazon.com/images/I/71hwpV5oXsL._AC_UL320_.jpg,769.99,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 01:49:33 UTC,view,1306920,2053013553375346967,772.19,517005804,d5d9ca3d-4744-46a8-a77e-156da2636d69,lenovo computers notebook,"Lenovo ThinkPad E15 Gen 2 Home & Business Laptop (AMD Ryzen 5 4500U 6-Core, 16GB RAM, 512GB PCIe SSD, AMD Radeon, 15.6"" Full HD (1920x1080), WiFi, Bluetooth, Webcam, Win 10 Pro) with Hub",0.64155495,2.2000000000000455,0.37831098999999646
"Lenovo IdeaPad 3 Laptop, Student and Business, 15.6” FHD Touchscreen Display, Intel Core i5-1135G7 Processor, 20GB RAM, 512GB SSD, Wi-Fi 6, SD Card Reader, HDMI, Webcam, Windows 11 Home, Grey",https://m.media-amazon.com/images/I/61oXknWtZgL._AC_UL320_.jpg,568.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 00:14:04 UTC,view,100012452,2053013558920217191,566.27,579622345,0d83ea87-e9cb-4481-a125-1adbd880d7dc,lenovo computers notebook,"Lenovo IdeaPad 3 Laptop, Student and Business, 15.6” FHD Touchscreen Display, Intel Core i5-1135G7 Processor, 20GB RAM, 512GB SSD, Wi-Fi 6, SD Card Reader, HDMI, Webcam, Windows 11 Home, Grey",0.60319793,1.7300000000000182,0.41367987904029113
"Lenovo Newest IdeaPad 3 15.6” HD Touch Screen Laptop, Intel Core i5-10210U Processor, 16GB RAM 512GB SSD, Webcam, WiFi, HDMI, Windows 11, Almond",https://m.media-amazon.com/images/I/61+xpd20q5L._AC_UL320_.jpg,679.0,57,Computers & Tablets,lenovo,computers.notebook,2019-12-01 02:01:08 UTC,view,1306984,2053013558920217191,669.23,580000904,31c6c80b-1c47-4dda-84a6-d5327730297b,lenovo computers notebook,"Lenovo Newest IdeaPad 3 15.6” HD Touch Screen Laptop, Intel Core i5-10210U Processor, 16GB RAM 512GB SSD, Webcam, WiFi, HDMI, Windows 11, Almond",0.64754474,9.769999999999982,0.2037893565422471
